# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        84   -1.9706495420e+01    5.0922165514e-01    8.2548750087e+03    8.2550000000e+03    5.0000000000e-01   -1.9714192959e+01    9.9151435476e-01    9.9939430648e-01
        85   -1.9713112903e+01    5.2970428322e-01    8.2529321682e+03    8.2530000000e+03    2.5000000000e-01   -1.9713914122e+01    9.9422883209e-01    9.9975766388e-01
        86   -1.9714386176e+01    5.2519342822e-01    8.2518858847e+03    8.2520000000e+03    0.0000000000e+00   -1.9720410430e+01    9.9259568360e-01    9.9963645177e-01
        87   -1.9711159560e+01    5.3180773100e-01    8.2518561469e+03    8.2520000000e+03    2.5000000000e-01   -1.9721683703e+01    9.9166556475e-01    9.9963645177e-01
        88   -1.9711977353e+01    5.0425567436e-01    8.2538807250e+03    8.2540000000e+03    5.0000000000e-01   -1.9718699423e+01    9.9001733143e-01    9.9939423310e-01
        89   -1.9709457326e+01    5.6376735963e-01    8.2488639906e+03    8.2490000000e+03    2.5000000000e-01   -1.9718911266e+01    9.9137902707e-01    9.9987877318e-01
        90   -1.9712813812e+01    5.0460578589e-01    8.2489072370e+03    8.2490000000e+03    2.5000000000e-01   -1.9716391239e+01    9.9085168090e-01    9.9975754637e-01
        91   -1.9717523557e+01    5.3904678415e-01    8.2479222676e+03    8.2480000000e+03    2.5000000000e-01   -1.9719626491e+01    9.9234617410e-01    9.9927255092e-01
        92   -1.9714602127e+01    5.5771878901e-01    8.2448718467e+03    8.2450000000e+03    5.0000000000e-01   -1.9723972444e+01    9.9410606934e-01    9.9963614312e-01
        93   -1.9721554413e+01    4.9483887355e-01    8.2439511582e+03    8.2440000000e+03    5.0000000000e-01   -1.9720929722e+01    9.9185069874e-01    9.9963609898e-01
        94   -1.9720536870e+01    4.7076087764e-01    8.2408884647e+03    8.2410000000e+03    2.5000000000e-01   -1.9727518040e+01    9.9181647554e-01    9.9963596651e-01
        95   -1.9724721770e+01    5.4198444807e-01    8.2399329828e+03    8.2400000000e+03    0.0000000000e+00   -1.9726379145e+01    9.9188333491e-01    9.9939320388e-01
        96   -1.9726412294e+01    5.3416299830e-01    8.2409158511e+03    8.2410000000e+03    5.0000000000e-01   -1.9730685397e+01    9.9243817508e-01    9.9963596651e-01
        97   -1.9725900985e+01    4.9953443926e-01    8.2408985288e+03    8.2410000000e+03    7.5000000000e-01   -1.9732375922e+01    9.9186794300e-01    9.9975731101e-01
        98   -1.9732116465e+01    5.3905352057e-01    8.2439488103e+03    8.2440000000e+03    7.5000000000e-01   -1.9732228579e+01    9.9206086691e-01    9.9963609898e-01
        99   -1.9733822591e+01    4.9138460199e-01    8.2489008096e+03    8.2490000000e+03    7.5000000000e-01   -1.9739050377e+01    9.9193605087e-01    9.9951509274e-01
       100   -1.9738653230e+01    5.2350358071e-01    8.2489248381e+03    8.2490000000e+03    2.5000000000e-01   -1.9740756503e+01    9.9340371750e-01    9.9975754637e-01
       101   -1.9733567468e+01    4.8919181463e-01    8.2468418216e+03    8.2470000000e+03    2.5000000000e-01   -1.9745344659e+01    9.9225149930e-01    9.9951497514e-01
       102   -1.9734116601e+01    4.5157783233e-01    8.2448984832e+03    8.2450000000e+03    5.0000000000e-01   -1.9740016356e+01    9.9125800249e-01    9.9975742874e-01
       103   -1.9735076341e+01    5.0295333381e-01    8.2468987841e+03    8.2470000000e+03    5.0000000000e-01   -1.9740808031e+01    9.9277248777e-01    9.9939371893e-01
       104   -1.9738023831e+01    4.8856797768e-01    8.2429237988e+03    8.2430000000e+03    2.5000000000e-01   -1.9741282628e+01    9.9236308242e-01    9.9963605483e-01
       105   -1.9741672070e+01    4.5594806223e-01    8.2439216929e+03    8.2440000000e+03    7.5000000000e-01   -1.9744351425e+01    9.9306546734e-01    9.9975739932e-01
       106   -1.9745804132e+01    5.2379941729e-01    8.2479226801e+03    8.2480000000e+03    5.0000000000e-01   -1.9748484748e+01    9.9138052514e-01    9.9951503395e-01
       107   -1.9744282286e+01    4.7945512597e-01    8.2488741596e+03    8.2490000000e+03    7.5000000000e-01   -1.9752738045e+01    9.9395583848e-01    9.9951509274e-01
       108   -1.9745553685e+01    4.5826633688e-01    8.2478968685e+03    8.2480000000e+03    5.0000000000e-01   -1.9751094965e+01    9.9183886688e-01    9.9939379243e-01
       109   -1.9748746349e+01    5.4516813402e-01    8.2449198684e+03    8.2450000000e+03    2.5000000000e-01   -1.9752002572e+01    9.9376010814e-01    9.9951485749e-01
       110   -1.9749262615e+01    4.8104157001e-01    8.2409035787e+03    8.2410000000e+03    2.5000000000e-01   -1.9754709977e+01    9.9092584216e-01    9.9927193302e-01
       111   -1.9755995230e+01    4.4206304661e-01    8.2369636165e+03    8.2370000000e+03    7.5000000000e-01   -1.9754740746e+01    9.9268744786e-01    9.9963578973e-01
       112   -1.9754199264e+01    4.7624563934e-01    8.2368962873e+03    8.2370000000e+03    2.5000000000e-01   -1.9761473362e+01    9.9259974278e-01    9.9915017603e-01
       113   -1.9761516035e+01    4.5876478124e-01    8.2319846546e+03    8.2320000000e+03    5.0000000000e-01   -1.9759070195e+01    9.9134685082e-01    9.9975704568e-01
       114   -1.9755515150e+01    4.6772453922e-01    8.2338649072e+03    8.2340000000e+03    2.5000000000e-01   -1.9766629890e+01    9.9339850008e-01    9.9963565703e-01
       115   -1.9752318170e+01    5.4856786230e-01    8.2338896780e+03    8.2340000000e+03    5.0000000000e-01   -1.9760629005e+01    9.9166589989e-01    9.9951420938e-01
       116   -1.9756192390e+01    4.9421576164e-01    8.2349448007e+03    8.2350000000e+03    2.5000000000e-01   -1.9757553465e+01    9.9211385205e-01    9.9975713418e-01
       117   -1.9759542401e+01    5.3180813156e-01    8.2349475875e+03    8.2350000000e+03    2.5000000000e-01   -1.9761427685e+01    9.9125622909e-01    9.9939283546e-01
       118   -1.9764282135e+01    4.8589169803e-01    8.2339572593e+03    8.2340000000e+03    5.0000000000e-01   -1.9764656256e+01    9.9150032808e-01    9.9975710469e-01
       119   -1.9770012499e+01    4.6554562157e-01    8.2369577491e+03    8.2370000000e+03    2.5000000000e-01   -1.9769760266e+01    9.9365500078e-01    9.9963578973e-01
       120   -1.9771237641e+01    4.7428733763e-01    8.2369182237e+03    8.2370000000e+03    2.5000000000e-01   -1.9775490631e+01    9.9153587605e-01    9.9975719315e-01
       121   -1.9771238706e+01    4.6793705338e-01    8.2399046388e+03    8.2400000000e+03    5.0000000000e-01   -1.9777079916e+01    9.9439899800e-01    9.9963592233e-01
       122   -1.9770554950e+01    6.6858934591e-01    8.2428956923e+03    8.2430000000e+03    2.5000000000e-01   -1.9777444993e+01    9.9172857680e-01    9.9963605483e-01
       123   -1.9776397908e+01    4.8841980570e-01    8.2459409427e+03    8.2460000000e+03    5.0000000000e-01   -1.9777125116e+01    9.9280094412e-01    9.9939364540e-01
       124   -1.9781963826e+01    4.6170567910e-01    8.2439415562e+03    8.2440000000e+03    2.5000000000e-01   -1.9782725503e+01    9.9086695975e-01    9.9975739932e-01
       125   -1.9780892599e+01    4.7946414217e-01    8.2438858838e+03    8.2440000000e+03    2.5000000000e-01   -1.9788291420e+01    9.9208942207e-01    9.9951479864e-01
       126   -1.9780510769e+01    4.5294440393e-01    8.2418994883e+03    8.2420000000e+03    7.5000000000e-01   -1.9786977564e+01    9.9193649437e-01    9.9951468090e-01
       127   -1.9783704460e+01    4.6082454555e-01    8.2379303773e+03    8.2380000000e+03    2.5000000000e-01   -1.9786110297e+01    9.9181002105e-01    9.9975722263e-01
       128   -1.9785451711e+01    4.6435819597e-01    8.2389188691e+03    8.2390000000e+03    5.0000000000e-01   -1.9789425369e+01    9.9153062868e-01    9.9975725209e-01
       129   -1.9784595953e+01    5.1451158693e-01    8.2408907943e+03    8.2410000000e+03    5.0000000000e-01   -1.9791415338e+01    9.9250240403e-01    9.9975731101e-01
       130   -1.9784774643e+01    6.5075403322e-01    8.2458973459e+03    8.2460000000e+03    7.5000000000e-01   -1.9791166119e+01    9.9222287954e-01    9.9987872908e-01
       131   -1.9787299597e+01    5.1597571927e-01    8.2459060121e+03    8.2460000000e+03    2.5000000000e-01   -1.9791344809e+01    9.9202973128e-01    9.9939364540e-01
